"",latitude,longitude,station_id,name,popularity,rating,price,distance,fsq_id
180,49.283749,-123.136133,df5ab349a7a85d4b10da4cc3ec65c607,Pumpjack Pub,0.980009,6.6,1.0,353,4aa748faf964a5209a4c20e3
181,49.262944,-123.148109,e0318460138ffbf4692005d5b5a9f900,Glitch Vancouver,0.966111,NaN,2.0,653,5e23d6013c545b000792e3a4
182,49.270290,-123.135025,db51c556fe50ec1deefbc9697c70cb51,Fringe Bar,0.611568,NaN,2.0,151,5b959ae266f3cd002ca41289
183,49.280427,-123.074082,58a026f0c506caec20697a4f90538450,The Narcissus,0.843957,NaN,1.0,498,5a4826f1e55d8b0532c25fa2
184,49.279259,-123.119145,0e0aef6fabaa808b3a3cef24657257a4,Notch8 Restaurant,0.989738,7.9,NaN,536,553bdde9498e4eca654a36d3
185,49.285836,-123.127265,90c746df94ce1a12f1f617acfe4a8ce3,H Tasting Lounge,0.993165,7.9,3.0,728,5aebff9ddd8442002c58043f
186,49.272969,-123.164325,80b5c12ef21fd47275d37b2c9935249c,The Kings Head Vancouver,0.935268,5.1,1.0,706,50c2589fe4b0489424ed0c46
187,49.272470,-123.185643,899f59a9994302e8e1e4be01117ef707,Majidian Barbers,0.849478,NaN,NaN,994,4d60505e5c39b1f7adaf024a
188,49.271471,-123.177310,8d2d5bb3b9142f781f2a7f441e6bad7a,Nick's Barber Shop,0.794856,NaN,NaN,815,4d31ef57b6093704ac58f1df
189,49.290112,-123.127062,5de0fe55497681d4cc9dd25509cf51ab,Brass Fish Tavern,0.979210,7.7,2.0,790,5e4744e38fe461000780f69b
190,49.263523,-123.155267,2681455ba2d97283998a806b14d3e95c,Bar One,0.799863,6.1,2.0,749,5488ce65498ec20cb7c81a56
191,49.264928,-123.168068,064a7b39b1dbc4bfc4cf8f454e360c57,Valentino's Barbershop,0.813381,NaN,NaN,698,56427801498eb544b35efea6
192,49.264483,-123.173926,9c1397c06e07bf74fc049f1a0872eea0,Majidian Barbers,0.849478,NaN,NaN,467,4d60505e5c39b1f7adaf024a
193,49.264579,-123.183730,9763838317308a4766b83696986a157b,Castaway Bar and Kitchen,0.969671,NaN,2.0,622,5d29827cf5c8330023780aff
194,49.263746,-123.069892,c64ee19c62a363019ddbaedf71df2882,Toby's on the Drive,NaN,NaN,NaN,401,bb49325fb8c9435a541dd771
195,49.258761,-123.127071,421516af381a11f54d07fc79be68d3d3,Bombay Kitchen + Bar,0.928166,NaN,2.0,855,603b133e0d2ef05d57b35103
196,49.268974,-123.190701,38f045e3f43f86eae42ca4c60257ade0,Castaway Bar and Kitchen,0.969671,NaN,2.0,949,5d29827cf5c8330023780aff
197,49.273011,-123.159663,5ba6e9725b1b0ee8cd25df976e47726b,The Kings Head Vancouver,0.935268,5.1,1.0,393,50c2589fe4b0489424ed0c46
198,49.266924,-123.173849,f90ed7ad754ec04b7852941a480a4c77,Good Co. Kits,0.893782,NaN,1.0,358,6457401321f70230178ea1ea
