"",name,station_id,rating,price,lat_long,distance,source,id,fsq_id
35,Foret Noire Patisserie,7a19c49f486d7c0c02b3685d7b240448,4.0,$$,"49.262487,-123.114397",303.482278,yelp,gRepmb_vwaCDzbsjwmJ-Ig,NaN
36,A.Bento,7a19c49f486d7c0c02b3685d7b240448,4.0,$$,"49.262487,-123.114397",332.277954,yelp,y583PSvm5c6tZYmRiboYYA,NaN
37,The Firewood Café,7a19c49f486d7c0c02b3685d7b240448,4.0,$$,"49.262487,-123.114397",441.644976,yelp,NPOkjob3PFlNrvZ-GO3fqQ,NaN
38,Pho Extreme Xe Lua,7a19c49f486d7c0c02b3685d7b240448,2.5,$,"49.262487,-123.114397",98.307524,yelp,1AA4EjIIXywxOSnbyZ9vLA,NaN
39,Lotus Seed Vegan,7a19c49f486d7c0c02b3685d7b240448,4.0,$$,"49.262487,-123.114397",480.612406,yelp,8GSg9GAax8rRmBCij1aneA,NaN
40,Cafe & Life Co.,7a19c49f486d7c0c02b3685d7b240448,4.5,NaN,"49.262487,-123.114397",330.199459,yelp,sJ-mEiS2A5aFje7v3dhI4w,NaN
41,Elysian Coffee,7a19c49f486d7c0c02b3685d7b240448,3.5,$$,"49.262487,-123.114397",221.080646,yelp,X-73k3cwBjjc170MOdPa7A,NaN
42,Earnest Ice Cream,7a19c49f486d7c0c02b3685d7b240448,4.5,$$,"49.262487,-123.114397",1093.727955,yelp,zXNIn6HJ2bnOSj2iTYpQTg,NaN
43,Tropika On Cambie,7a19c49f486d7c0c02b3685d7b240448,3.0,$$,"49.262487,-123.114397",400.909670,yelp,KN9zCrgwHj_iWQGEf3Vzyw,NaN
44,Wendy's,7a19c49f486d7c0c02b3685d7b240448,2.5,$,"49.262487,-123.114397",136.555841,yelp,vOpLZp0G7WnrDMNZYVIilQ,NaN
45,49th Parallel Coffee,7a19c49f486d7c0c02b3685d7b240448,4.0,$,"49.262487,-123.114397",1049.076361,yelp,NnaE4IKlc6XdYOUu4IOV5w,NaN
46,Pizzamia Gourmet Pizza Bar,7a19c49f486d7c0c02b3685d7b240448,4.5,NaN,"49.262487,-123.114397",132.112046,yelp,5nGTOnj9Fwb2hZUP3JQPVg,NaN
47,Fatburger,7a19c49f486d7c0c02b3685d7b240448,3.0,$$,"49.262487,-123.114397",285.478157,yelp,mbXdf7JYd8bswptJ3Ye52Q,NaN
48,Sharetea,7a19c49f486d7c0c02b3685d7b240448,4.0,$,"49.262487,-123.114397",285.417834,yelp,i7ybVsoTF1L_Dh8TmJokQQ,NaN
49,Rain or Shine Ice Cream,7a19c49f486d7c0c02b3685d7b240448,4.5,$$,"49.262487,-123.114397",821.367629,yelp,77sOC9lw_YMSASa5VyIOUA,NaN
50,The Flying Pig,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$,"49.274566,-123.121817",54.990917,yelp,NdEPf2Ls5Ql3_nkwjqKvXA,NaN
51,Blue Water Cafe,32603a87cfca71d0f7dfa3513bad69d5,4.5,$$$$,"49.274566,-123.121817",190.502213,yelp,gt1BSfVFvzI-qHdJ3LUZug,NaN
52,Minami,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$$,"49.274566,-123.121817",106.404291,yelp,gV9lrbWr1CE1Jl0E58UO2g,NaN
53,Rodney's Oyster House,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$,"49.274566,-123.121817",103.402289,yelp,xYDUAD4JGLVnQUB2i8njBA,NaN
54,Robba da Matti,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$$,"49.274566,-123.121817",108.898789,yelp,htvl5L_V-zKN0UvUgP60PQ,NaN
55,Brix & Mortar,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$$,"49.274566,-123.121817",116.982898,yelp,kZN_-zju67rEQVUSaewRhA,NaN
56,Cioppino's Mediterranean Grill,32603a87cfca71d0f7dfa3513bad69d5,4.5,$$$$,"49.274566,-123.121817",106.315327,yelp,RIb01mB9pEJ3yeebyHb4XA,NaN
57,Tasty Indian Bistro,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$,"49.274566,-123.121817",158.535072,yelp,UwQyc3prSQp3pnvdSSmlaQ,NaN
58,OEB Breakfast Co. Yaletown,32603a87cfca71d0f7dfa3513bad69d5,4.5,$$,"49.274566,-123.121817",222.481980,yelp,QmkGDL-8zexdKV3Xcn8ZYg,NaN
59,Elisa,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$$$,"49.274566,-123.121817",157.665640,yelp,rVuC98hyTNLaxtr5Y8rH9A,NaN
60,The Parlour,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$,"49.274566,-123.121817",277.599509,yelp,-naJRqkmbos0UeWApfEvtw,NaN
61,MeeT in Yaletown,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$,"49.274566,-123.121817",32.136642,yelp,mkqiEUO9KZbYtFPaDGxT0w,NaN
62,Provence Marinaside,32603a87cfca71d0f7dfa3513bad69d5,3.5,$$$,"49.274566,-123.121817",212.975925,yelp,yRjZg5jkJP6fZDxl15BWQA,NaN
63,Cactus Club Cafe,32603a87cfca71d0f7dfa3513bad69d5,3.5,$$$,"49.274566,-123.121817",102.313517,yelp,f7Sr6NKUtQYCZZSvYiNvtA,NaN
64,The Greek By Anatoli,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$,"49.274566,-123.121817",230.638745,yelp,DhWNZXfKSlUxMcQQ6EUkMA,NaN
65,Lupo,32603a87cfca71d0f7dfa3513bad69d5,4.5,$$$,"49.274566,-123.121817",517.428879,yelp,wHTXCWVsx2PYPT21JV-HeQ,NaN
66,Nightshade,32603a87cfca71d0f7dfa3513bad69d5,4.5,NaN,"49.274566,-123.121817",191.060007,yelp,tHc6x1Kuj9qkbZYUTTzkQg,NaN
67,Fanny Bay Oyster Bar & Shellfish Market,32603a87cfca71d0f7dfa3513bad69d5,4.5,$$,"49.274566,-123.121817",717.579172,yelp,Ufhxnrt_OJu4jHfVTP3aRQ,NaN
68,Yaletown Brewing Company,32603a87cfca71d0f7dfa3513bad69d5,3.5,$$,"49.274566,-123.121817",129.893060,yelp,yg2s2EA9Lnepuz36N7n_0g,NaN
69,Bistro Sakana,32603a87cfca71d0f7dfa3513bad69d5,3.5,$$$,"49.274566,-123.121817",100.625940,yelp,0zErZVaaOhJUV1lNEqEc6Q,NaN
70,Earls Kitchen + Bar,32603a87cfca71d0f7dfa3513bad69d5,3.5,$$,"49.274566,-123.121817",169.955817,yelp,9S7kMX5ca5BtZMlv3b7WIg,NaN
71,Hapa Izakaya,32603a87cfca71d0f7dfa3513bad69d5,3.5,$$,"49.274566,-123.121817",92.299185,yelp,tdcbwxEP8JZfgx1NaRS9-g,NaN
72,La Terrazza,32603a87cfca71d0f7dfa3513bad69d5,3.5,$$$,"49.274566,-123.121817",233.330589,yelp,upa_mgUMGWihLKC0D5vNMw,NaN
73,West Oak Restaurant,32603a87cfca71d0f7dfa3513bad69d5,3.5,$$$,"49.274566,-123.121817",263.544325,yelp,_Xxsjm_mUn5yQ17TrBmRHg,NaN
74,Manoush'eh,32603a87cfca71d0f7dfa3513bad69d5,5.0,$,"49.274566,-123.121817",366.277991,yelp,K1nbiOrySlw_-XG-3NmErQ,NaN
75,Small Victory Bakery,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$,"49.274566,-123.121817",217.441468,yelp,d9j1BELXo1E8wdEiIQAzKw,NaN
76,Little Saigon Yaletown,32603a87cfca71d0f7dfa3513bad69d5,3.5,$$,"49.274566,-123.121817",129.618462,yelp,nnffEZLV13xqsjTIxXeqIA,NaN
77,Hundy,32603a87cfca71d0f7dfa3513bad69d5,3.5,NaN,"49.274566,-123.121817",119.984345,yelp,btfq1h29spNPLu88d0W73g,NaN
78,The Keg Steakhouse + Bar - Yaletown,32603a87cfca71d0f7dfa3513bad69d5,3.5,$$$,"49.274566,-123.121817",288.850884,yelp,9Vu9gwCuAn4q9aVZrfIGWw,NaN
79,Sushi Maro,32603a87cfca71d0f7dfa3513bad69d5,3.5,$$,"49.274566,-123.121817",39.366927,yelp,ApjtI5aULYXY4IXm_WNVjw,NaN
80,Tacofino,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$,"49.274566,-123.121817",266.511153,yelp,xOqfvlf_oVeAcqj2xHrx1w,NaN
81,Banter Room,32603a87cfca71d0f7dfa3513bad69d5,3.5,$$,"49.274566,-123.121817",247.238767,yelp,tcMvdTNquoTxdDY-o2IsZw,NaN
82,The Mexican Antojitos Y Cantina,32603a87cfca71d0f7dfa3513bad69d5,4.5,$$,"49.274566,-123.121817",495.936952,yelp,AEyYLMPjnFWybOmD81pufg,NaN
83,Sushi Jin,32603a87cfca71d0f7dfa3513bad69d5,4.5,$$$,"49.274566,-123.121817",576.045718,yelp,iMtUsHOqitE6Aau59K_XRg,NaN
84,Mister,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$,"49.274566,-123.121817",69.657836,yelp,33vTX7D5up56a1dm_AGsUQ,NaN
85,Happy Noodle House,32603a87cfca71d0f7dfa3513bad69d5,4.5,$$,"49.274566,-123.121817",370.799279,yelp,V4w2oMsWgZSmGKbbku9lKA,NaN
86,Chambar,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$$,"49.274566,-123.121817",1062.620769,yelp,_4R46MNkwx9MeOyt0YfNxA,NaN
87,Zab Zaab Thai Cuisine,32603a87cfca71d0f7dfa3513bad69d5,4.0,NaN,"49.274566,-123.121817",99.754418,yelp,zSVlSPVRWk2I9u28cE8brw,NaN
88,Jam Cafe on Beatty,32603a87cfca71d0f7dfa3513bad69d5,4.5,$$,"49.274566,-123.121817",1085.617526,yelp,LjdbthVdtLYKSi7iVAFl0g,NaN
89,Medina Cafe,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$,"49.274566,-123.121817",739.815859,yelp,VPqWLp9kMiZEbctCebIZUA,NaN
90,Salsa & Agave Mexican Grill,32603a87cfca71d0f7dfa3513bad69d5,3.5,$$,"49.274566,-123.121817",52.499931,yelp,pzPNqJuBgkzDb9DV2fvjfQ,NaN
91,Le Crocodile Restaurant,32603a87cfca71d0f7dfa3513bad69d5,4.5,$$$$,"49.274566,-123.121817",886.802655,yelp,GSg5v3ZJxmMPrlAXqat8tA,NaN
92,Nero Waffles,32603a87cfca71d0f7dfa3513bad69d5,4.5,$$,"49.274566,-123.121817",420.421911,yelp,L4jCuG3S-6kY0FVAyjiLNQ,NaN
93,Ki-Isu Japanese Restaurant,32603a87cfca71d0f7dfa3513bad69d5,3.5,$$,"49.274566,-123.121817",152.158559,yelp,h53WO8lSukfQjXWWvr4rKg,NaN
94,Jinya Ramen Bar - Vancouver,32603a87cfca71d0f7dfa3513bad69d5,4.0,$$,"49.274566,-123.121817",699.679496,yelp,8-l4x9EYK6JAbMycfrDU3Q,NaN
95,Angus T,32603a87cfca71d0f7dfa3513bad69d5,4.0,$,"49.274566,-123.121817",263.565522,yelp,uJNfd4CrU3dD7RjLnHzodg,NaN
96,Capo & The Spritz,32603a87cfca71d0f7dfa3513bad69d5,3.5,NaN,"49.274566,-123.121817",67.006283,yelp,NqNVJzRLCVojpC_qk9QQeQ,NaN
