"",latitude,longitude,station_id,name,popularity,rating,price,distance,fsq_id
35,49.260599,-123.113504,66f873d641d448bd1572ab086665a458,Fox Cabaret,0.958381,8.1,3.0,968,531142f211d2358d5388bb3c
36,49.260599,-123.113504,66f873d641d448bd1572ab086665a458,Belmont Barbershop,0.931384,7.7,NaN,843,4ab94f8af964a520e07e20e3
37,49.260599,-123.113504,66f873d641d448bd1572ab086665a458,The Wicklow Pub,0.994835,7.7,1.0,978,4aada5a2f964a520236120e3
38,49.260599,-123.113504,66f873d641d448bd1572ab086665a458,Colony Bar Main Street,0.922816,7.5,2.0,925,55416137498e0d288b76b9e7
39,49.260599,-123.113504,66f873d641d448bd1572ab086665a458,Sing Sing Beer Bar,0.987130,7.4,NaN,921,5c6f3cc2c03635002c74c211
40,49.264215,-123.117772,485d4d24c803cfde829ab89699fed833,Rogue Kitchen & Wetbar,0.982484,8.2,3.0,125,4f60fc8be4b0a9d090a1f850
41,49.264215,-123.117772,485d4d24c803cfde829ab89699fed833,33 Acres Brewing Co,0.950404,9.4,2.0,903,51b201d27dd249ae714ba728
42,49.264215,-123.117772,485d4d24c803cfde829ab89699fed833,The Juice Truck,0.907852,8.8,1.0,921,537e3ec8498ec730b9966b97
43,49.264215,-123.117772,485d4d24c803cfde829ab89699fed833,The Wicklow Pub,0.994835,7.7,1.0,502,4aada5a2f964a520236120e3
44,49.264215,-123.117772,485d4d24c803cfde829ab89699fed833,Biercraft Bistro,0.913468,8.1,3.0,951,4cbf89f200d8370403c8445c
45,49.264215,-123.117772,485d4d24c803cfde829ab89699fed833,Mahony & Sons,0.995269,7.4,NaN,561,53eee0b9498e381a6c7eaa98
46,49.264215,-123.117772,485d4d24c803cfde829ab89699fed833,Vancouver Hackspace,0.854486,7.3,2.0,778,54c3149d498ed61fce827941
47,49.264215,-123.117772,485d4d24c803cfde829ab89699fed833,Bao Down Gastropub + Raw Bar,0.942065,7.3,2.0,957,5691d6c2498eaae856c925dc
48,49.264215,-123.117772,485d4d24c803cfde829ab89699fed833,Jugo Juice,0.533280,6.4,1.0,280,5d2843a1c56f480023f8e4cd
49,49.264215,-123.117772,485d4d24c803cfde829ab89699fed833,Victoria's Health and Organic Bar,0.090797,NaN,1.0,131,58f13221419a9e1e24489f12
50,49.270877,-123.115103,b07d513f87897cff7319a0e59d7e567c,CRAFT Beer Market Vancouver,0.985911,8.2,3.0,632,508c2d32e4b032d8be856a72
