empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra_ebikes,extra_has_ebikes,extra_last_updated,lat_long
21,2,4990fe5772f3b73eebeec125b41e478e,49.27808,-123.130557,Burrard & Drake,2023-09-21 19:03:51.680000,1,true,1695322782,"49.27808,-123.130557"
13,10,bf96df77771ef0ed710d8e0e67917f45,49.269969,-123.109623,Columbia & 1st,2023-09-21 19:03:51.417000,2,true,1695322832,"49.269969,-123.109623"
4,25,e75e83499d3fa2e174dc2a8ffd238119,49.287528,-123.142139,Davie & Beach,2023-09-21 19:03:51.753000,13,true,1695323018,"49.287528,-123.142139"
3,23,0438114d2e6b96118de69bc9775bb21e,49.28803,-123.142135,Morton & Denman,2023-09-21 19:03:51.191000,17,true,1695323014,"49.28803,-123.142135"
12,1,07b13214cb69f2ec007d888450f3d6bc,49.259579,-123.114769,13th & Cambie,2023-09-21 19:03:51.764000,1,true,1695322780,"49.259579,-123.114769"
11,6,f5e8fa1fc4252bda2f93dd27ed2d603f,49.2890705989865,-123.138407369468,Nelson & Denman,2023-09-21 19:03:51.772000,3,true,1695322840,"49.2890705989865,-123.138407369468"
3,11,c2a9c5d0e4578b928554c86f3d2c1162,49.287782,-123.12395,Melville & Bute,2023-09-21 19:03:51.396000,1,true,1695322997,"49.287782,-123.12395"
4,15,5f45325fdd6334a4c0d3b62853b19fa6,49.28512,-123.11242,Seymour & Cordova,2023-09-21 19:03:51.371000,3,true,1695322898,"49.28512,-123.11242"
7,11,085a0e120a08a80a58c0ae0ff9da565a,49.247854,-123.153422,Arbutus & Nanton,2023-09-21 19:03:51.471000,5,true,1695322909,"49.247854,-123.153422"
13,5,8d5f47f01d7ad668419dfe9b7fe69c9a,49.265939,-123.1129,Yukon & 6th,2023-09-21 19:03:51.414000,1,true,1695322927,"49.265939,-123.1129"
13,3,bede4b24dae115d4cd43d2e6cc9812cb,49.261122,-123.097571,11th & Kingsway,2023-09-21 19:03:51.400000,0,true,1695322530,"49.261122,-123.097571"
15,3,680b1ddfd50c4397b365c9c00f09b0d1,49.267725,-123.11311,Wylie & 2nd,2023-09-21 19:03:51.208000,2,true,1695322887,"49.267725,-123.11311"
16,3,b26f83e904f3a778466ebcd763b7316a,49.245135,-123.116098,29th & Cambie,2023-09-21 19:03:51.285000,2,true,1695322839,"49.245135,-123.116098"
10,6,6620c54bd6b3a79800b2b67e999b24d0,49.274232,-123.129998,Rolston & Granville,2023-09-21 19:03:51.770000,3,true,1695322999,"49.274232,-123.129998"
13,6,7f091b50fbbd892bf9fb869a64c47120,49.238105,-123.154966,East Blvd & 37th,2023-09-21 19:03:51.617000,5,true,1695322905,"49.238105,-123.154966"
13,7,57d39a680c9407cda0fb4de6d9c55138,49.246243,-123.124373,28th & Willow,2023-09-21 19:03:51.214000,4,true,1695323007,"49.246243,-123.124373"
